,name,carbohydrate,total_fat,calories,protein,
93,"Hominy, white, canned",14.26 g,0.9g,72,1.48 g,
94,"Game meat, raw, moose",0.00 g,0.7g,102,22.24 g,
95,"Pears, red anjou, raw",14.94 g,0.1g,62,0.33 g,
96,"Horseradish, prepared",11.29 g,0.7g,48,1.18 g,
97,"Fish, raw, butterfish",0.00 g,8g,146,17.28 g,
98,"Lebanon bologna, beef",0.44 g,10g,172,19.03 g,
99,Ham and cheese spread,2.28 g,19g,245,16.18 g,
100,"TACO BELL, Taco Salad",15.10 g,9.2g,170,6.69 g,
101,"Sauce, worcestershire",19.46 g,0g,78,0.00 g,
102,"Candies, marshmallows",81.30 g,0.2g,318,1.80 g,
103,"Hummus, home prepared",20.12 g,8.6g,177,4.86 g,
104,Horned melon (Kiwano),7.56 g,1.3g,44,1.78 g,
105,Ice cream sundae cone,28.89 g,14g,254,3.00 g,
106,"Peppers, raw, serrano",6.70 g,0.4g,32,1.74 g,
107,"Cabbage, cooked, napa",2.23 g,0.2g,12,1.10 g,
108,"Peppers, dried, ancho",51.42 g,8.2g,281,11.86 g,
109,"Parsley, freeze-dried",42.38 g,5.2g,271,31.30 g,
110,"Spices, black, pepper",63.95 g,3.3g,251,10.39 g,
111,"Spices, white, pepper",68.61 g,2.1g,296,10.40 g,
112,"Yambean (jicama), raw",8.82 g,0.1g,38,0.72 g,
113,"Nuts, dried, pilinuts",3.98 g,80g,719,10.80 g,
114,"Kiwifruit, raw, green",14.66 g,0.5g,61,1.14 g,
115,"Drumstick leaves, raw",8.28 g,1.4g,64,9.40 g,
116,"Yautia (tannier), raw",23.63 g,0.4g,98,1.46 g,
117,"Candies, butterscotch",90.40 g,3.3g,391,0.03 g,
118,"Cucumber, raw, peeled",2.16 g,0.2g,12,0.59 g,
119,"Dandelion greens, raw",9.20 g,0.7g,45,2.70 g,
120,"Melons, raw, honeydew",9.09 g,0.1g,36,0.54 g,
121,Potato salad with egg,16.18 g,9.4g,157,1.96 g,
122,"Mushrooms, raw, white",3.26 g,0.3g,22,3.09 g,
123,"Mushrooms, raw, morel",5.10 g,0.6g,31,3.12 g,
124,"Cheese, Mexican blend",1.75 g,29g,358,23.54 g,
125,"Oranges, Florida, raw",11.54 g,0.2g,46,0.70 g,
126,"SILK Vanilla, soymilk",4.12 g,1.4g,41,2.47 g,
127,"Papaya nectar, canned",14.51 g,0.2g,57,0.17 g,
128,"Fiddlehead ferns, raw",5.54 g,0.4g,34,4.55 g,
129,SILK Peach soy yogurt,18.82 g,1.2g,94,2.35 g,
130,SILK Plain soy yogurt,9.69 g,1.8g,66,2.64 g,
131,"PACE, Enchilada Sauce",8.33 g,0g,40,1.67 g,
132,Yeast extract spread,20.42 g,0.9g,185,23.88 g,
133,"Tomatoes, raw, green",5.10 g,0.2g,23,1.20 g,
134,"Mollusks, raw, snail",2.00 g,1.4g,90,16.10 g,
135,"Emu, raw, fan fillet",0.00 g,0.8g,103,22.50 g,
136,"Pasta, enriched, dry",74.67 g,1.5g,371,13.04 g,
137,"Cookies, gingersnaps",76.90 g,9.8g,416,5.60 g,
138,"Sour cream, fat free",15.60 g,0g,74,3.10 g,
139,"MURRAY, Honey Graham",75.70 g,13g,445,5.90 g,
140,"Frankfurter, chicken",2.74 g,16g,223,15.51 g,
141,"Ham, canned, chopped",0.26 g,19g,239,16.06 g,
142,"Spices, dried, thyme",63.94 g,7.4g,276,9.11 g,
143,"Carrot juice, canned",9.28 g,0.2g,40,0.95 g,
144,"Corn, dried (Navajo)",74.93 g,5.2g,386,9.88 g,
145,"Pate, truffle flavor",6.30 g,29g,327,11.20 g,
146,"Fruit butters, apple",42.47 g,0.3g,173,0.39 g,
147,"Fast foods, coleslaw",14.89 g,9.9g,153,0.95 g,
148,"Salami, beef, cooked",1.90 g,22g,261,12.60 g,
149,"Spices, chili powder",49.70 g,14g,282,13.46 g,
150,"Spices, caraway seed",49.90 g,15g,333,19.77 g,
151,"Spices, dried, basil",47.75 g,4.1g,233,22.98 g,
152,"Pickle relish, sweet",35.06 g,0.5g,130,0.37 g,
153,"Chives, freeze-dried",64.29 g,3.5g,311,21.20 g,
154,"Fish, raw, sablefish",0.00 g,15g,195,13.41 g,
155,"Crackers, multigrain",67.60 g,20g,482,7.10 g,
156,"Spices, ground, mace",50.50 g,32g,475,6.71 g,
157,"Spices, onion powder",79.12 g,1g,341,10.41 g,
158,"Butter, without salt",0.06 g,81g,717,0.85 g,
159,"Rice noodles, cooked",24.01 g,0.2g,108,1.79 g,
160,Barley flour or meal,74.52 g,1.6g,345,10.50 g,
161,"Sesbania flower, raw",6.73 g,0g,27,1.28 g,
162,"Garlic bread, frozen",41.72 g,17g,350,8.36 g,
163,"KFC, Popcorn Chicken",21.18 g,22g,351,17.67 g,
164,"APPLEBEE'S, coleslaw",13.17 g,7.1g,120,0.79 g,
165,"Rolls, sweet, dinner",53.58 g,7.4g,321,10.04 g,
166,"Cherries, raw, sweet",16.01 g,0.2g,63,1.06 g,
167,"Ostrich, raw, ground",0.00 g,8.7g,165,20.22 g,
168,"SILK Coffee, soymilk",10.29 g,1.4g,62,2.06 g,
169,"Snacks, banana chips",58.40 g,34g,519,2.30 g,
170,"Peaches, raw, yellow",9.54 g,0.3g,39,0.91 g,
171,"Rolls, wheat, dinner",46.00 g,6.3g,273,8.60 g,
172,"Candies, HEATH BITES",63.39 g,30g,530,3.94 g,
173,"Chicken, raw, ground",0.04 g,8.1g,143,17.44 g,
174,"Pears, bartlett, raw",15.01 g,0.2g,63,0.39 g,
175,"Toppings, strawberry",66.30 g,0.1g,254,0.20 g,
176,"KEEBLER, Sugar Cones",78.00 g,3.7g,375,7.30 g,
177,"Seaweed, raw, wakame",9.14 g,0.6g,45,3.03 g,
178,"Seaweed, dried, agar",80.88 g,0.3g,306,6.21 g,
179,"Bread, cracked-wheat",49.50 g,3.9g,260,8.70 g,
180,"Amaranth leaves, raw",4.02 g,0.3g,23,2.46 g,
181,"Barley, raw, pearled",77.72 g,1.2g,352,9.91 g,
182,"Polish sausage, pork",1.63 g,29g,326,14.10 g,
183,"Spices, curry powder",55.83 g,14g,325,14.29 g,
184,"Bacon bits, meatless",28.60 g,26g,476,32.00 g,
185,"Semolina, unenriched",72.83 g,1.1g,360,12.68 g,
186,"Grape leaves, canned",11.71 g,2g,69,4.27 g,
187,"Spices, ground, sage",60.73 g,13g,315,10.63 g,
188,"PACE, Red Taco Sauce",12.50 g,0g,50,0.00 g,
189,"DENNY'S, hash browns",26.59 g,9g,197,2.49 g,
190,"DENNY'S, onion rings",41.05 g,22g,385,5.29 g,
191,"Ostrich, raw, oyster",0.00 g,3.7g,125,21.55 g,
192,"Oil, corn and canola",0.00 g,100g,884,0.00 g,
193,"Pumpkin flowers, raw",3.28 g,0.1g,15,1.03 g,
194,"Celery flakes, dried",63.70 g,2.1g,319,11.30 g,
195,"Crackers, egg, matzo",78.60 g,2.1g,391,12.30 g,
196,"Loganberries, frozen",13.02 g,0.3g,55,1.52 g,
197,"Tangerine juice, raw",10.10 g,0.2g,43,0.50 g,
198,"Soybeans, raw, green",11.05 g,6.8g,147,12.95 g,
199,"Soybean, curd cheese",6.90 g,8.1g,151,12.50 g,
200,"Game meat, raw, bear",0.00 g,8.3g,161,20.10 g,
201,"Game meat, raw, deer",0.00 g,2.4g,120,22.96 g,
202,"Oranges, navels, raw",12.54 g,0.2g,49,0.91 g,
203,"Tostada shells, corn",64.43 g,23g,474,6.15 g,
204,"Fish, raw, swordfish",0.00 g,6.7g,144,19.66 g,
205,"Taro, raw, tahitian",6.91 g,1g,44,2.79 g,
206,"Chicory greens, raw",4.70 g,0.3g,23,1.70 g,
207,"Hearts of palm, raw",25.61 g,0.2g,115,2.70 g,
208,"Chayote, raw, fruit",4.51 g,0.1g,19,0.82 g,
209,"Fish, smoked, cisco",0.00 g,12g,177,16.36 g,
210,"Frankfurter, turkey",3.81 g,17g,223,12.23 g,
211,"Candies, jellybeans",93.55 g,0.1g,375,0.00 g,
212,"Oil, ucuhuba butter",0.00 g,100g,884,0.00 g,
213,Soy protein isolate,0.00 g,3.4g,335,88.32 g,
214,"Syrups, light, corn",76.79 g,0.2g,283,0.00 g,
215,"Fish, raw, milkfish",0.00 g,6.7g,148,20.53 g,
216,"Fish, raw, monkfish",0.00 g,1.5g,76,14.48 g,
217,"Mother's loaf, pork",7.53 g,22g,282,12.07 g,
218,"Tapioca, dry, pearl",88.69 g,0g,358,0.19 g,
219,"Guavas, raw, common",14.32 g,1g,68,2.55 g,
220,"Spices, celery seed",41.35 g,25g,392,18.07 g,
221,"Candies, peanut bar",47.40 g,34g,522,15.50 g,
222,"Bread, toasted, rye",53.10 g,3.6g,284,9.40 g,
223,"Oil, apricot kernel",0.00 g,100g,884,0.00 g,
